"title","url","postTimestamp"
"FTC sues Adobe for hiding fees and inhibiting cancellations","https://www.ftc.gov/news-events/news/press-releases/2024/06/ftc-takes-action-against-adobe-executives-hiding-fees-preventing-consumers-easily-cancelling","2024-06-17T16:29:53"
"Making Serverless Orchestration 25x Faster","https://www.dbos.dev/blog/dbos-vs-aws-step-functions-benchmark","2024-06-17T18:24:25"
"Correlation Between Fecal Microplastics and Inflammatory Bowel Disease","https://pubs.acs.org/doi/abs/10.1021/acs.est.1c03924","2024-06-17T18:07:45"
"What policy makers need to know about AI (and what goes wrong if they don't)","https://www.answer.ai/posts/2024-06-11-os-ai.html","2024-06-17T17:50:50"
"Trading cards with e-ink displays (2023)","https://howtoware.co/wyldcard","2024-06-17T13:04:29"
"New Branding, Same Scanning: Upload Moderation Undermines End-to-End Encryption [pdf]","https://signal.org/blog/pdfs/upload-moderation.pdf","2024-06-17T15:54:04"
"Unskilled and unaware: Misjudgments rise with overconfidence in low performers","https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1252520/full","2024-06-17T19:07:05"
"Htmx 2.0.0 has been released","https://htmx.org/posts/2024-06-17-htmx-2-0-0-is-released/","2024-06-17T19:10:24"
"High-severity vulnerabilities affect a wide range of Asus router models","https://arstechnica.com/security/2024/06/high-severity-vulnerabilities-affect-a-wide-range-of-asus-router-models/","2024-06-17T19:04:33"
"How React 19 Almost Made the Internet Slower","https://blog.codeminer42.com/how-react-19-almost-made-the-internet-slower/","2024-06-17T14:14:04"
